date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-07-29 23:53:41,cinematicviewss,,0,0,4,"One thing that confused me is to why Peter Parker just randomly starts liking MJ without any real explanation as to why he does? #SpiderManFarFromHome",,,#SpiderManFarFromHome,1155989804284141569,https://twitter.com/cinematicviewss/status/1155989804284141569
2019-07-29 23:43:35,MorganBochan1,,0,0,1,"I took a photo with Spider-Man using the Spider-Man Far From Home app! #SpiderManFarFromHome pic.twitter.com/ViAqWnanf6",,,#SpiderManFarFromHome,1155987261697040386,https://twitter.com/MorganBochan1/status/1155987261697040386
2019-07-29 23:41:07,ChibuikemMolok1,,0,2,14,"Respect the past, embrace the future #SpiderMan #SpiderManFarFromHome pic.twitter.com/vU0kH3Z5QG",,,#SpiderMan #SpiderManFarFromHome,1155986641862840320,https://twitter.com/ChibuikemMolok1/status/1155986641862840320
2019-07-29 23:37:29,MorganBochan1,,0,0,1,"I took a photo with Spider-Man using the Spider-Man Far From Home app! #SpiderManFarFromHome pic.twitter.com/4QbV9ROak3",,,#SpiderManFarFromHome,1155985729962434560,https://twitter.com/MorganBochan1/status/1155985729962434560
2019-07-29 23:32:44,BHornet7,,0,0,0,"@TomHolland1996 @marisatomei ...the last 5 minutes of the film... WTF!! #SpiderManFarFromHome #MCU #SinisterSix #AmazingFriends",,@TomHolland1996 @marisatomei,#SpiderManFarFromHome #MCU #SinisterSix #AmazingFriends,1155984534296334336,https://twitter.com/BHornet7/status/1155984534296334336
2019-07-29 23:30:33,SkilliWorld,,4,0,0,"Who's watched the latest Spider-Man: Far From Home movie? This one's for you! Spider-Man: Far From home True or False Trivia! There's a $500 USD prize pool. #SpiderMan #SpiderManFarFromHome #Tomholland #trivia #trivianight #movienightpic.twitter.com/0MoIOQJa9P",,,#SpiderMan #SpiderManFarFromHome #Tomholland #trivia #trivianight #movienightpic,1155983985102602240,https://twitter.com/SkilliWorld/status/1155983985102602240
2019-07-29 23:21:24,DaynaDeadly1510,,0,0,0,"So today after work I managed to catch #SpidermanFarFromHome for the fourth time !! I love this movie but I cant see it without tearing up. Brilliant sequel. Hilarious. @Cineworld Glasgow Renfrew Street https://www.instagram.com/p/B0hNd_tnE9e/?igshid=4odpmuucfr2z …",,@Cineworld,#SpidermanFarFromHome,1155981682819792896,https://twitter.com/DaynaDeadly1510/status/1155981682819792896
2019-07-29 23:19:11,dduffy_01,,0,0,1,"Spider-Man in his stealth suit #SpiderManFarFromHome #SpiderMan #PS4 #Marvel #InsomniacGames @insomniacgamespic.twitter.com/o5AAZokIxB",,@insomniacgamespic,#SpiderManFarFromHome #SpiderMan #PS4 #Marvel #InsomniacGames,1155981121567379467,https://twitter.com/dduffy_01/status/1155981121567379467
2019-07-29 23:18:12,EthanCastillo05,,3,27,160,"Trying out some new tricks for doing webbing using @Photoshop on my @wacom Cintiq Pro. #SpiderMan #SpiderManFarFromHome #Wacom #Cintiq #Photoshop #digitalartpic.twitter.com/4ayTS1a6JA",,@Photoshop @wacom,#SpiderMan #SpiderManFarFromHome #Wacom #Cintiq #Photoshop #digitalartpic,1155980874644516864,https://twitter.com/EthanCastillo05/status/1155980874644516864
2019-07-29 23:17:08,SoCalBillsMafia,HashslingingThe,1,0,0,"Thank you, so much!! Before this summer - I had not seen any of the MCU films. Maya spent many summer nights, catching me up.... so that I would be ready for #SpiderManFarFromHome.... and, I'm so glad she did.",,,#SpiderManFarFromHome,1155980607249215489,https://twitter.com/SoCalBillsMafia/status/1155980607249215489
2019-07-29 23:13:56,SteveWaldinger,EntertainingPod,0,3,3,"Super super excited to be back on the That's Entertaining #podcast to talk about #SpiderManFarFromHome ! https://twitter.com/EntertainingPod/status/1155958650961195009 …",,,#podcast #SpiderManFarFromHome,1155979803872227330,https://twitter.com/SteveWaldinger/status/1155979803872227330
2019-07-29 23:08:33,belovedjuggy,,0,0,1,"I just remembered that one scene in FFH when Peter is building his costume and Happy looks at him so proudly with a little smile. I bet he was thinking 'he is the next Iron Man for sure, this kid is so good' #SpiderMan #SpiderManFarFromHome",,,#SpiderMan #SpiderManFarFromHome,1155978446075392000,https://twitter.com/belovedjuggy/status/1155978446075392000
2019-07-29 23:07:47,tomssholly,,0,0,1,"‘The spidey suit, but make it fashion’ @zendaya #SpiderManFarFromHome https://twitter.com/Zfromspace/status/1155970303517810689 …pic.twitter.com/ONRw0jfU0R",,@zendaya,#SpiderManFarFromHome,1155978254773129216,https://twitter.com/tomssholly/status/1155978254773129216
2019-07-29 23:06:20,FedePiper91,,0,0,0,"I love her. #SpiderManFarFromHome #michellejonespic.twitter.com/0mE3By8S7V",,,#SpiderManFarFromHome #michellejonespic,1155977889243774977,https://twitter.com/FedePiper91/status/1155977889243774977
2019-07-29 23:02:51,DanaWHarris,,1,0,0,"Loving the @SpiderManMovie goodies on our @united flight to #London! #United #SpiderManFarFromHome @Houston_Foxpic.twitter.com/pRqFvAQl0j",,@SpiderManMovie @united @Houston_Foxpic,#London #United #SpiderManFarFromHome,1155977011937992708,https://twitter.com/DanaWHarris/status/1155977011937992708
2019-07-29 23:00:44,samikitten,OriginalFunko,0,0,0,"I'm seeing #SpiderManFarFromHome tomorrow for my birthday and I'm so excited! #FunkoApppic.twitter.com/ZHuuLZipwS",,,#SpiderManFarFromHome #FunkoApppic,1155976481123659777,https://twitter.com/samikitten/status/1155976481123659777
2019-07-29 22:51:00,celmation,,1,0,0,"Love the Earth 616 reference. #SpiderManFarFromHome",,,#SpiderManFarFromHome,1155974028739280903,https://twitter.com/celmation/status/1155974028739280903
2019-07-29 22:50:39,celmation,,0,0,0,"I need an Edith interface. #SpiderManFarFromHome",,,#SpiderManFarFromHome,1155973940574969857,https://twitter.com/celmation/status/1155973940574969857
2019-07-29 22:49:33,morimori_bitch,,0,0,0,"tom holland es 1 Bebito change my mind. #Tomholland #SpiderMan #SpiderManFarFromHome",,,#Tomholland #SpiderMan #SpiderManFarFromHome,1155973664535244800,https://twitter.com/morimori_bitch/status/1155973664535244800
2019-07-29 22:49:09,MARVELFANSUNI,DanielRPK,0,1,0,"We all felt proud #PeterParker #SpiderMan #TonyStark #IronMan #HappyHogan #AvengersEndgame #FarFromHome #SpiderManFarFromHome https://twitter.com/DanielRPK/status/1155951406597070855 …",,,#PeterParker #SpiderMan #TonyStark #IronMan #HappyHogan #AvengersEndgame #FarFromHome #SpiderManFarFromHome,1155973563175714816,https://twitter.com/MARVELFANSUNI/status/1155973563175714816
2019-07-29 22:34:16,GoodeAJ,,1,0,4,"Watching #InfinityWar again with Rooster .... just realized Thanos is the big brother from The Goonies and now my childhood is ruined. Next, they'll be telling me that Ralphie from A Christmas Story is a villain in #SpiderManFarFromHome. Oh, wait....",,,#InfinityWar #SpiderManFarFromHome,1155969819344195590,https://twitter.com/GoodeAJ/status/1155969819344195590
2019-07-29 22:33:42,sMiLeY_8D,,0,0,0,"@RalphGarman hey Ralph is there any spoilers for #SpiderManFarfromhome , in the new #HollywoodBabbleon ? I haven’t had a chance to listen to it yet, or see that film yet. I imagine @ThatKevinSmith has a few things to say about it. Thanks for the great content and amazing work.",,@RalphGarman @ThatKevinSmith,#SpiderManFarfromhome #HollywoodBabbleon,1155969678897868807,https://twitter.com/sMiLeY_8D/status/1155969678897868807
2019-07-29 22:27:32,TUITLANTECUHTLI,,0,0,3,"Whatever it takes. #MarvelMeme #SpiderManFarFromHome #mcuphase4 #LunesDeGanarSeguidores #FelizInicioDeSemana #PorQueSiempre #BuenLunes #SiguemeYTeSigo #WandaVision #AvengersEndgame #ScarletWitch #Endgamepic.twitter.com/yQEBjmDxT9",,,#MarvelMeme #SpiderManFarFromHome #mcuphase4 #LunesDeGanarSeguidores #FelizInicioDeSemana #PorQueSiempre #BuenLunes #SiguemeYTeSigo #WandaVision #AvengersEndgame #ScarletWitch #Endgamepic,1155968126497857536,https://twitter.com/TUITLANTECUHTLI/status/1155968126497857536
2019-07-29 22:19:01,MovieBurners,,0,3,2,"Join John Walsh and Stephen McLaughlin on This Week’s MBE Box Office (UK) We discuss the top ten films in the UK. #TheLionking #ToyStory4 #SpiderManFarFromHome #Midsommar #AnnabelleComesHome #Yesterday #CasinoRoyale #Aladdin #TheQueensCorgi #Apollo11 https://youtu.be/UL55F4tYjTc pic.twitter.com/10IGKdK8bo",,,#TheLionking #ToyStory4 #SpiderManFarFromHome #Midsommar #AnnabelleComesHome #Yesterday #CasinoRoyale #Aladdin #TheQueensCorgi #Apollo11,1155965980129947648,https://twitter.com/MovieBurners/status/1155965980129947648
2019-07-29 22:17:00,screencrushnews,,0,0,13,"#SpiderManFarFromHome is the first Spidey movie to gross $1 billion. https://screencrush.com/far-from-home-first-spider-man-to-1-billion …",,,#SpiderManFarFromHome,1155965473101512704,https://twitter.com/screencrushnews/status/1155965473101512704
2019-07-29 22:16:51,Jupiter_Hadley,,1,0,4,"Oh shit, #SpiderManFarFromHome wasn't included on this list. Really loved the movie. This Spiderman is best Spiderman. I enjoyed the twists and use of modern tech and there was some great action bits. I saw it around July 17th, I believe. pic.twitter.com/GYrXSwj1vy",,,#SpiderManFarFromHome,1155965436036468739,https://twitter.com/Jupiter_Hadley/status/1155965436036468739
2019-07-29 22:16:11,5secsofdramione,,0,0,3,"THIS IS MY LEGACY #SpiderManFarFromHome pic.twitter.com/lrSd03hujv",,,#SpiderManFarFromHome,1155965267781906433,https://twitter.com/5secsofdramione/status/1155965267781906433
2019-07-29 22:13:24,info202,,0,0,1,"#steem On ! to the Universe ! ♩♬ #steemtweets #dclick #aaa #palnet #actnearn #zzan #steemengine &lt; #SpiderManFarFromHome> < #스파이더맨파프롬홈>https://partiko.app/bluengel/5gbjmc?referrer=bluengel …",,,#steem #steemtweets #dclick #aaa #palnet #actnearn #zzan #steemengine #SpiderManFarFromHome #스파이더맨파프롬홈,1155964566599163905,https://twitter.com/info202/status/1155964566599163905
2019-07-29 22:12:04,TheMorgs21,,0,0,0,"I've just remembered how 'Spiderman: Far from home' ends and am now shook all over again. How am I going to go to sleep now??? #SpiderManFarFromHome #Marvel #peterparker",,,#SpiderManFarFromHome #Marvel #peterparker,1155964231142871043,https://twitter.com/TheMorgs21/status/1155964231142871043
2019-07-29 22:07:49,ellabalinska,,5,9,131,"Still laughing at the Led Zeppelin joke in #SpiderManFarFromHome",,,#SpiderManFarFromHome,1155963162123878404,https://twitter.com/ellabalinska/status/1155963162123878404
2019-07-29 22:01:02,VinitaLuhana,,3,0,6,"#Govinda and I was offered the role of Spidy in #SpiderManFarFromHome but I rejected it because I didn't like the stay arrangements in Venice. pic.twitter.com/P1DSqUs4rn",,,#Govinda #SpiderManFarFromHome,1155961457864916994,https://twitter.com/VinitaLuhana/status/1155961457864916994
2019-07-29 21:59:08,edwardistheman,SpiderManMovie,0,0,8,"@Zendaya as MJ was the highlight of #SpiderManFarFromHome",,@Zendaya,#SpiderManFarFromHome,1155960978254598144,https://twitter.com/edwardistheman/status/1155960978254598144
2019-07-29 21:56:42,SonyPictures,,5,58,403,"""You look really pretty too."" #SpiderManFarFromHome, now playing. pic.twitter.com/1bwj2mL4Ri",,,#SpiderManFarFromHome,1155960367194890241,https://twitter.com/SonyPictures/status/1155960367194890241
2019-07-29 21:49:53,EntertainingPod,,0,4,5,"The July episode is on the feed now! @SteveWaldinger joins @VoicedByNathan to discuss the $1Billion grossing #SpiderManFarFromHome! Enjoy! https://podcasts.apple.com/us/podcast/thats-entertaining/id953727915#episodeGuid=http%3A%2F%2Fthatsentertaining.net%2Fpodcast%2F%3Fname%3D2019-07-29_te121_s-m-ffh.m4a …",,@SteveWaldinger @VoicedByNathan,#SpiderManFarFromHome #episodeGuid,1155958650961195009,https://twitter.com/EntertainingPod/status/1155958650961195009
2019-07-29 21:48:29,muItifandomism,,0,0,0,"i saw #SpiderManFarFromHome for the 5ᵀᴴ TIME today!!!!! @SpiderManMovie",,@SpiderManMovie,#SpiderManFarFromHome,1155958298970951681,https://twitter.com/muItifandomism/status/1155958298970951681
2019-07-29 21:48:20,TheWellDrinker,,1,0,4,"I thought #SpiderManFarFromHome was excellent. I laughed loads. Jake is great. Tom Holland continues to be the best actor to ever don the suit, and it's another visual stunner. Plus - that sequence!! No spoilers, but it involves a grave. Holy shit I loved that.",,,#SpiderManFarFromHome,1155958259787821058,https://twitter.com/TheWellDrinker/status/1155958259787821058
2019-07-29 21:46:59,BlondeKatty,,0,0,1,"Finally saw #SpiderManFarFromHome tonight and was brill! Did. Not. See. That. Coming #Mysterio #PeterParker",,,#SpiderManFarFromHome #Mysterio #PeterParker,1155957921663995905,https://twitter.com/BlondeKatty/status/1155957921663995905
2019-07-29 21:43:22,aJNation71,,0,0,1,"Watched #SpiderManFarFromHome with @toxicsmokie and still can’t decide what I think about it ... the after credit scenes were better than the film!",,@toxicsmokie,#SpiderManFarFromHome,1155957008769544192,https://twitter.com/aJNation71/status/1155957008769544192
2019-07-29 21:43:15,thafruszczakguy,,0,0,0,"Just watched the new episode of @euphoriaHBO and wow. Just wow. In my opinion it's the best one so far. I'm fascinated. I absolutely loved #Zendaya's acting in #SpiderManFarFromHome and I love her acting in Euphoria. She's an amazing actress #feeleuphoria #HBO #euphoriahbo",,@euphoriaHBO,#Zendaya #SpiderManFarFromHome #feeleuphoria #HBO #euphoriahbo,1155956978918674433,https://twitter.com/thafruszczakguy/status/1155956978918674433
2019-07-29 21:35:37,rahalarts,,0,1,4,"This is a fanart that I created for Night Monkey #nightmonkey #SpiderManFarFromHome #tomhollandpic.twitter.com/45H9up9a0r",,,#nightmonkey #SpiderManFarFromHome #tomhollandpic,1155955058929856515,https://twitter.com/rahalarts/status/1155955058929856515
2019-07-29 21:34:28,FedePiper91,,0,0,3,"like son #SpiderManFarFromHome pic.twitter.com/opm5i54PGj",,,#SpiderManFarFromHome,1155954769069924353,https://twitter.com/FedePiper91/status/1155954769069924353
2019-07-29 21:33:18,silentbling,,1,0,2,"This July @cineworld 1) #SpiderManFarFromHome 9/10 3D 2) #GroundhogDay 8/10 3) #blindedbythelight 7/10 #Secretscreening 4) #Animals #UnlimitedScreening 5/10 5) #TheLionKing 3D 9/10 6) #TheCurrentWar 8/10 60th Movie 7) #CrawlMovie 7/10 #Secretscreening Cont...pic.twitter.com/ngXhbH3gBn",,@cineworld,#SpiderManFarFromHome #GroundhogDay #blindedbythelight #Secretscreening #Animals #UnlimitedScreening #TheLionKing #TheCurrentWar #CrawlMovie #Secretscreening,1155954478580764673,https://twitter.com/silentbling/status/1155954478580764673
2019-07-29 21:26:46,dj_higuma,,1,0,0,".....and the major lesson to be learned from @SpiderManMovie #SpiderManFarFromHome? Only take a selfie with a DSLR camera if you can absolutely ensure that it won't fall into the water! #phototips",,@SpiderManMovie,#SpiderManFarFromHome #phototips,1155952831402090497,https://twitter.com/dj_higuma/status/1155952831402090497
2019-07-29 21:16:06,david_cyclist4,,0,0,1,"When I was younger - #Spiderman was always my favourite #SuperHero - I really think that @TomHolland1996 absolutely nails the role. Loved #SpiderManFarFromHome @Marvel @MarvelStudios",,@TomHolland1996 @Marvel @MarvelStudios,#Spiderman #SuperHero #SpiderManFarFromHome,1155950146359681026,https://twitter.com/david_cyclist4/status/1155950146359681026
2019-07-29 21:13:20,Pop_Culture_Guy,,0,0,0,"Weekend Box Office Estimates for July 26-28, 2019: 'The Lion King' Keeps its Claws in First Place https://popcultureguy-don.blogspot.com/2019/07/weekend-box-office-estimates-for-july_29.html … #TheLionKing #Crawl #OnceUponaTimeinHollywood #SpiderManFarFromHome #ToyStory4pic.twitter.com/3W9l7V5SPM",,,#TheLionKing #Crawl #OnceUponaTimeinHollywood #SpiderManFarFromHome #ToyStory4pic,1155949453850759177,https://twitter.com/Pop_Culture_Guy/status/1155949453850759177
2019-07-29 21:11:29,SweetTalk_Aliza,,0,0,0,"Went to see @SpiderManMovie two nights ago and didn’t even realize before going to the movies, that my makeup was matching the colors of Mysterio’s costume. It was great seeing @TomHolland1996 as Spidey again! #SpiderManFarFromHome https://www.instagram.com/p/B0cqCzXpUwv/?igshid=1o2dh12uq45u3 …pic.twitter.com/IzG4ALe2gt",,@SpiderManMovie @TomHolland1996,#SpiderManFarFromHome,1155948986257141765,https://twitter.com/SweetTalk_Aliza/status/1155948986257141765
2019-07-29 21:07:55,FedePiper91,,0,0,3,"E D I T H #SpiderManFarFromHome pic.twitter.com/if9D8j1NlE",,,#SpiderManFarFromHome,1155948090563522561,https://twitter.com/FedePiper91/status/1155948090563522561
2019-07-29 21:07:24,FedePiper91,,0,0,0,"Looking good Parker. #SpiderManFarFromHome pic.twitter.com/OoJgHybYBp",,,#SpiderManFarFromHome,1155947957868359681,https://twitter.com/FedePiper91/status/1155947957868359681
2019-07-29 21:03:08,FedePiper91,,0,0,1,"i miss Karen. #SpiderManFarFromHome",,,#SpiderManFarFromHome,1155946887104487424,https://twitter.com/FedePiper91/status/1155946887104487424
2019-07-29 21:02:42,FedePiper91,,0,0,1,"""Al prossimo Tony Stark. Credo in te."" ""To the next Tony Stark. I trust you."" #SpiderManFarFromHome",,,#SpiderManFarFromHome,1155946777461137410,https://twitter.com/FedePiper91/status/1155946777461137410
2019-07-29 20:53:08,Lucinde_june,,0,0,0,"@mickyfordy how cool are these #SpiderManFarFromHome",,@mickyfordy,#SpiderManFarFromHome,1155944368034856961,https://twitter.com/Lucinde_june/status/1155944368034856961
2019-07-29 20:50:12,CBNostalgia,THR,0,2,7,"He nails a modern Flash. @TonyRevolori took a huge chance and his douchy, modern, punk sort of Flash Thompson is awesome. #SpiderManFarFromHome https://twitter.com/THR/status/1155942024291315712 …",,@TonyRevolori,#SpiderManFarFromHome,1155943631871565827,https://twitter.com/CBNostalgia/status/1155943631871565827
2019-07-29 20:46:44,karma_is_life,,1,0,0,"Time to do some research on what the hell I just saw. I’m still confused #SpiderManFarFromHome",,,#SpiderManFarFromHome,1155942756818096129,https://twitter.com/karma_is_life/status/1155942756818096129
2019-07-29 20:44:32,EvsGWales,,1,0,3,"Finally got the chance to watch #SpiderManFarFromHome today. Absolutely brilliant way to continue from #Endgame Best #Spiderman yet.",,,#SpiderManFarFromHome #Endgame #Spiderman,1155942204264706048,https://twitter.com/EvsGWales/status/1155942204264706048
2019-07-29 20:43:49,THR,,6,12,118,"'Spider-Man' actor @TonyRevolori talks auditioning as a Latinx actor: ""I had to convince myself why I deserved the role"" http://thr.cm/LGuEzu #SpiderManFarFromHome pic.twitter.com/CZS6edbtrz",,@TonyRevolori,#SpiderManFarFromHome,1155942024291315712,https://twitter.com/THR/status/1155942024291315712
2019-07-29 20:40:52,canningbomb6,,0,0,0,"It boggles me #vlog #spidermanfarfromhome #marvel #uk #tiktokpic.twitter.com/MDicDZqrGx",,,#vlog #spidermanfarfromhome #marvel #uk #tiktokpic,1155941282935521280,https://twitter.com/canningbomb6/status/1155941282935521280
2019-07-29 20:40:24,canningbomb6,,0,0,0,"Someone has some explaining to do #vlog #spidermanfarfromhome #marvel #uk #tiktokpic.twitter.com/afHIlkSDMA",,,#vlog #spidermanfarfromhome #marvel #uk #tiktokpic,1155941164387725313,https://twitter.com/canningbomb6/status/1155941164387725313
2019-07-29 20:32:36,dmx2k1,,1,0,0,"#SpiderManFarFromHome was aight not the best spiderman movie like people said",,,#SpiderManFarFromHome,1155939200228741121,https://twitter.com/dmx2k1/status/1155939200228741121
2019-07-29 20:27:06,AElfigih,,0,0,6,"Made my day #Doritos #SpiderMan #SpiderManFarFromHome pic.twitter.com/C9hFRz6Pdo",,,#Doritos #SpiderMan #SpiderManFarFromHome,1155937815005298689,https://twitter.com/AElfigih/status/1155937815005298689
2019-07-29 20:24:27,momdadno,,0,5,78,"Oh my what had Spidey just witnessed See it on my patreon: https://www.patreon.com/momdadno #SpiderManFarFromHome #spidermanpic.twitter.com/A7JCq6Tj7t",,,#SpiderManFarFromHome #spidermanpic,1155937148106731521,https://twitter.com/momdadno/status/1155937148106731521
2019-07-29 20:10:00,LigulaArtifex,,0,0,3,"Mysterio #FarFromHome #mysterio #SpiderManFarFromHome #art #drawing #sketch #papersketch #artistsofinstagram #traditionalart #artistsontwitter #artistspic.twitter.com/LLyj7Et1i3",,,#FarFromHome #mysterio #SpiderManFarFromHome #art #drawing #sketch #papersketch #artistsofinstagram #traditionalart #artistsontwitter #artistspic,1155933514388267009,https://twitter.com/LigulaArtifex/status/1155933514388267009
2019-07-29 20:07:52,BORReport,,0,9,44,"Daily Box Office Top 7 for Sunday, July 28, 2019 1. #TheLionKing - $24.32M 2. #OnceUponATimeInHollywood - $11.07M 3. #SpiderManFarFromHome - $3.96M 4. #ToyStory4 - $3.08M 5. #CrawlMovie - $1.28M 6. #YesterdayMovie - $944K 7. #Aladdin - $884K #BoxOffice",,,#TheLionKing #OnceUponATimeInHollywood #SpiderManFarFromHome #ToyStory4 #CrawlMovie #YesterdayMovie #Aladdin #BoxOffice,1155932976573628416,https://twitter.com/BORReport/status/1155932976573628416
2019-07-29 20:05:05,papajohnspeedee,,0,0,0,"A superhero saves the neighborhood AND remembers dessert. Check out #SpiderManFarFromHome pic.twitter.com/DmokQhvzmo",,,#SpiderManFarFromHome,1155932278301716480,https://twitter.com/papajohnspeedee/status/1155932278301716480
2019-07-29 20:04:07,BORReport,,0,13,53,"Weekend Box Office Top 7 for July 26 - July 28, 2019 1. #TheLionKing - $76.62M 2. #OnceUponATimeInHollywood - $41.08M 3. #SpiderManFarFromHome - $12.45M 4. #ToyStory4 - $10.45M 5. #CrawlMovie - $4.06M 6. #YesterdayMovie - $3.08M 7. #Aladdin - $3.04M #BoxOffice",,,#TheLionKing #OnceUponATimeInHollywood #SpiderManFarFromHome #ToyStory4 #CrawlMovie #YesterdayMovie #Aladdin #BoxOffice,1155932034402881537,https://twitter.com/BORReport/status/1155932034402881537
2019-07-29 20:02:39,TaquiBox,,3,19,105,"TAQUILLA FINDE actual 1 #TheLionKing 76,6M (351,9M) 2 #OnceUponATimeInHollywood 41,1M 3 #SpiderManFarFromHome 12,5M (344,7M) 4 #ToyStory4 10,5M (396,2M) 5 #Crawl 4,1M (31,5M) 6 #Yesterday 3,1M (63,4M) 7 #Aladdin 3,0M (346,2M) 8 #Stuber 1,8M (20,2M)pic.twitter.com/t7tannPmmt",,,#TheLionKing #OnceUponATimeInHollywood #SpiderManFarFromHome #ToyStory4 #Crawl #Yesterday #Aladdin #Stuber,1155931664331055105,https://twitter.com/TaquiBox/status/1155931664331055105
2019-07-29 20:01:48,abhir24,,0,0,0,"#SpiderManFarFromHome was fantastic! Loved @TomHolland1996 !",,@TomHolland1996,#SpiderManFarFromHome,1155931450006310913,https://twitter.com/abhir24/status/1155931450006310913
2019-07-29 20:00:57,MBPapaJohns,,0,0,0,"A superhero saves the neighborhood AND remembers dessert. Check out #SpiderManFarFromHome pic.twitter.com/DK7LR4ViXL",,,#SpiderManFarFromHome,1155931234763042816,https://twitter.com/MBPapaJohns/status/1155931234763042816
2019-07-29 20:00:18,BORReport,,0,5,36,"Spider-Man: Far From Home grossed $12.45M this weekend. 27-Day total stands at $344.71M. #SpiderManFarFromHome #BoxOffice @SonyPictures @SpiderManMovie",,@SonyPictures @SpiderManMovie,#SpiderManFarFromHome #BoxOffice,1155931072196071424,https://twitter.com/BORReport/status/1155931072196071424
2019-07-29 20:00:00,DroppingLoadsPC,,0,1,0,"The illusions that #mysterio used to fight #spiderman were absolutely perfect. https://youtu.be/tagNtr2W_5A #BSPN #marvel #marvelstudios #spiderman #spidermanfarfromhome #mysterio #tomholland #zendaya #peterparker #happyhogan #nedleeds #vulture #jakegyllenhaal",,,#mysterio #spiderman #BSPN #marvel #marvelstudios #spiderman #spidermanfarfromhome #mysterio #tomholland #zendaya #peterparker #happyhogan #nedleeds #vulture #jakegyllenhaal,1155930998061916160,https://twitter.com/DroppingLoadsPC/status/1155930998061916160
2019-07-29 19:55:36,redqueenar,RegalMovies,0,0,0,"Thanks! It was Saturday and I know they have 2 IMAX auditoriums. #SpiderManFarFromHome",,,#SpiderManFarFromHome,1155929888081137664,https://twitter.com/redqueenar/status/1155929888081137664
2019-07-29 19:48:28,MovieNumbers,,0,0,1,"Weekend Final Numbers: https://www.the-numbers.com/weekend-box-office-chart …..... 1. #TheLionKing $76.6m/$351.9m 2. #OnceUponATimeInHollywood $41.1m/$41.1m 3. #SpiderManFarFromHome $12.5m/$344.7m",,,#TheLionKing #OnceUponATimeInHollywood #SpiderManFarFromHome,1155928096316387329,https://twitter.com/MovieNumbers/status/1155928096316387329
2019-07-29 19:40:30,Geek_MeetsWorld,,1,0,0,"Far from home. Again. #SpiderManFarFromHome #100FilmsIn2019 #CineworldUnlimited",,,#SpiderManFarFromHome #100FilmsIn2019 #CineworldUnlimited,1155926088557551616,https://twitter.com/Geek_MeetsWorld/status/1155926088557551616
2019-07-29 19:40:24,Megamarines,,3,0,24,"My Scarlet Spider suit showed up and lemme tell you it feels as good as it looks! Time to be ANGSTY. #IntoTheSpiderVerse #spiderman #SpiderManFarFromHome #cosplaypic.twitter.com/5Q1plkHqbR",,,#IntoTheSpiderVerse #spiderman #SpiderManFarFromHome #cosplaypic,1155926064457121792,https://twitter.com/Megamarines/status/1155926064457121792
2019-07-29 19:38:39,robert_taller,,0,0,0,"Spiderman movie promotion in Venice #spiderman #marvel #spidermanfarfromhome #spidermanhomecoming #tomholland #avengersendgame #venice #italy #travel @Venice, Italy https://www.instagram.com/p/B0gz-ZugzZp/?igshid=n5mqd67o9383 …",,@Venice,#spiderman #marvel #spidermanfarfromhome #spidermanhomecoming #tomholland #avengersendgame #venice #italy #travel,1155925622641713153,https://twitter.com/robert_taller/status/1155925622641713153
2019-07-29 19:37:31,vivek_20005,Forbes,0,0,0,"Why no mention of #SpiderManFarFromHome it also crossed $1bn recently???",,,#SpiderManFarFromHome,1155925339509411840,https://twitter.com/vivek_20005/status/1155925339509411840
2019-07-29 19:37:16,SpoilerAlex,,0,0,0,"I finally saw #SpiderManFarFromHome !!!! @SpiderManMovie Spider-Man: Far From Home (EN) https://spoileralex.wordpress.com/2019/07/29/spider-man-far-from-home-en/ …pic.twitter.com/suEOiXqjnw",,@SpiderManMovie,#SpiderManFarFromHome,1155925277450444801,https://twitter.com/SpoilerAlex/status/1155925277450444801
2019-07-29 19:34:51,BoxOffice,,2,13,73,"SPIDER-MAN: FAR FROM HOME $12.45M Weekend (Actual) 3,851 Screens / $3,233 Avg. Weekend 4 / -41.2% Change $344.70M Total (North America) #SpiderManFarFromHome #SpiderMan #FarFromHome #Marvel #MCU #BoxOffice",,,#SpiderManFarFromHome #SpiderMan #FarFromHome #Marvel #MCU #BoxOffice,1155924668773101568,https://twitter.com/BoxOffice/status/1155924668773101568
2019-07-29 19:32:27,dna,,0,3,14,"Box Office Report: ' #SpiderManFarFromHome' fails to mint Rs 100 crore; ' #TheLionKing' roars louder by second weekendhttp://dnai.in/gfy5",,,#SpiderManFarFromHome #TheLionKing,1155924062654234624,https://twitter.com/dna/status/1155924062654234624
2019-07-29 19:32:23,c0ff33a,,0,0,0,"Black and yellow it’s the new red. #spiderman #spidermanhomecoming #spidermanfarfromhome https://www.youtube.com/watch?v=9GLdvfHB4Xc&feature=share …",,,#spiderman #spidermanhomecoming #spidermanfarfromhome,1155924045893898241,https://twitter.com/c0ff33a/status/1155924045893898241
2019-07-29 19:22:34,TheHofSpades,2Fanboys1Casual,0,0,2,"Check out our review of #SpiderManFarFromHome . We’re actually entertaining https://twitter.com/2Fanboys1Casual/status/1155908837833990146 …",,,#SpiderManFarFromHome,1155921575712940035,https://twitter.com/TheHofSpades/status/1155921575712940035
